College_Name,Location_City,Location_State,Campus_Area,Accreditation_Body,Affiliation_University,Year_of_Establishment,National_Ranking,International_Ranking,Number_of_Faculties,Number_of_Departments,Website_URL,Program_Name,Eligibility_Criteria,Required_Entrance_Exam,Minimum_Exam_Score,Application_Start_Date,Application_End_Date,Admission_Quota_Type,Reservation_Category,Application_Fees,Application_Mode,Document_Required,Counseling_Start_Date,Counseling_End_Date,Tuition_Fees_Annual,Hostel_Fees_Annual,Lab_Fees_Annual,Miscellaneous_Fees,Total_Fees,Scholarship_Name,Scholarship_Eligibility,Scholarship_Amount,Financial_Aid_Options,Installment_Availability,Loan_Partners,Payment_Methods,Course_Duration_Years,Core_Subjects,Elective_Subjects,Faculty_Qualification,Faculty_Experience_Years,Teaching_Methods,Average_Class_Size,Academic_Calendar_Start,Academic_Calendar_End,Exam_Schedule,Average_CGPA,Research_Opportunities_Available,Internship_Availability,Placement_Year,Placement_Rate_Overall,Placement_Rate_By_Department,Top_Recruiters,Average_Salary_Overall,Average_Salary_By_Department,Highest_Salary_Overall,Highest_Salary_By_Department,Internship_Partners,Internship_Conversion_Rate,Total_Number_of_Classrooms,Total_Number_of_Labs,Library_Books_Available,Library_Digital_Resources,Hostel_Capacity,Sports_Facilities_Available,Gym_Available,Auditorium_Capacity,WiFi_Availability,Canteen_Capacity,Number_of_Smart_Classrooms,Medical_Facilities_Available,Accessibility_Features,Counseling_Services_Available,Mentorship_Programs_Available,Clubs_and_Societies_Available,Cultural_Events_Frequency,On_Campus_Accommodation_Available,Student_Exchange_Programs_Available,Alumni_Network_Size,Alumni_Notable_Names,Campus_Safety_Rating,Emergency_Protocols,Part-time_Job_Opportunities_Available,Department_Name,Specializations_Offered,Departmental_Achievements,Lab_Specific_Facilities,Industry_Collaborations_Available,Departmental_Events_Frequency,Number_of_International_Students,Country_of_Origin,Admission_Process_International,Visa_Assistance_Available,Cultural_Integration_Programs_Available,Language_Support_Available,International_Student_Housing_Available,Entrepreneurship_Support_Available,Incubation_Center_Available,Part-time_Job_Opportunities_International_Students,Study_Abroad_Programs_Available,Dual_Degree_Programs_Available,Community_Service_Programs_Available
Barrett-Martinez,Lindafurt,South Dakota,24,NAAC,Howard and Sons University,2001,121,925,182,19,https://www.hale-benson.com/,Arts,12th Grade with 60%,SAT,79,01-03-2024,11-07-2024,General,OBC,1683,Online,Marksheet,19-05-2024,10-01-2024,288028,87270,26988,7275,567574,Point Scholarship,Merit-Based,83628,No,Yes,"Alvarez, Carr and Arroyo",UPI,2,Thousand,Agree,PhD,15,Practical,89,06-02-2024,24-08-2024,29-05-2024,9.04,Yes,No,2023,89,70,"James, Sellers and Schmidt",1115072,953065,2170645,1630137,Scott and Sons,53,53,50,17311,1173,668,Yes,No,865,Yes,85,22,No,Yes,No,No,Senior Club,Yearly,Yes,Yes,99410,Brett Gonzalez,4,Yes,No,Law,Media Engineering,Memory remember form outside.,Identify provide idea south star direction.,No,Monthly,438,Heard Island and McDonald Islands,Different,Yes,No,Yes,No,No,No,Yes,No,No,No
Collins-Perry,Bonnieland,Wisconsin,162,NAAC,"Garcia, Serrano and Reid University",1977,205,150,74,43,https://www.sanchez-frazier.org/,Law,12th Grade with 60%,SAT,66,19-03-2024,05-02-2024,Management,ST,889,Offline,ID Proof,13-05-2024,25-08-2024,317193,73729,45221,7741,553395,Add Scholarship,Need-Based,34767,No,No,Dyer-Allen,Debit Card,2,Increase,Choice,MTech,13,Project-Based,35,17-02-2024,06-02-2024,18-08-2024,6.26,Yes,Yes,2019,53,86,Schmitt LLC,1262371,619196,943217,2027990,Proctor Inc,88,106,6,54013,530,1051,Yes,Yes,1924,No,75,44,Yes,No,Yes,Yes,Fact Club,Monthly,Yes,Yes,58925,Sean Nguyen,7,No,Yes,Mechanical,Receive Engineering,Last thousand hair world just executive figure.,Ask purpose my case tough.,Yes,Weekly,951,Romania,Different,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes
Arnold Ltd,North Jennifer,Kansas,173,NAAC,"Kelly, Anderson and Schmidt University",2001,424,29,496,35,https://www.hughes.com/,Business,12th Grade with 60%,JEE,,16-06-2024,12-07-2024,General,General,568,Offline,Photo,20-04-2024,11-03-2024,300654,70634,27799,11485,273309,Special Scholarship,Category-Based,49622,No,Yes,"Rivera, Rogers and Mcknight",UPI,3,Seem,Let,MBA,24,Lectures,42,10-01-2024,04-05-2024,12-05-2024,6.75,No,Yes,2010,74,84,"Thomas, Watts and Preston",315606,839714,2635792,904225,"Wagner, Pineda and Rodgers",74,86,25,21853,3565,1273,No,No,829,Yes,243,50,No,Yes,Yes,Yes,Floor Club,Weekly,No,No,54077,James Davis,10,No,Yes,Business,Purpose Engineering,Important woman interview.,Music wide trip field myself large lose.,No,Yearly,678,Seychelles,Different,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No
Smith PLC,Megantown,Georgia,176,UGC,Franklin and Sons University,1962,324,205,237,10,http://anderson-williams.com/,Science,Entrance Exam,JEE,79,01-08-2024,13-06-2024,General,ST,1386,Offline,Photo,17-01-2024,14-01-2024,140687,53059,27828,16678,412071,Represent Scholarship,Category-Based,29274,No,Yes,Sanders-Lewis,Net Banking,4,Bill,Investment,MTech,32,Lectures,27,13-06-2024,28-04-2024,24-01-2024,6.84,No,Yes,2021,77,76,"Mullins, Barnett and Garcia",454777,1286414,2715740,999087,Morton-Garcia,47,140,34,62054,8119,1449,Yes,Yes,533,No,294,35,No,No,Yes,Yes,Simple Club,Monthly,No,No,99612,Jesse Madden,1,Yes,Yes,Business,Seat Engineering,Hard maybe live discuss nothing sign such.,Others serious employee than.,Yes,Weekly,355,Solomon Islands,Similar,No,No,No,No,No,No,No,Yes,Yes,Yes
Olson-Johnson,Johnchester,Wyoming,34,AICTE,"Bruce, Mora and Copeland University",1979,7,482,335,13,https://www.barnes-jackson.com/,Arts,Entrance Exam,NEET,,27-05-2024,15-07-2024,Management,SC,735,Offline,Address Proof,15-06-2024,17-01-2024,193990,22870,41005,7288,481038,Senior Scholarship,Need-Based,51384,No,Yes,Evans and Sons,UPI,4,Role,Situation,MBA,4,Online,75,04-02-2024,29-08-2024,28-08-2024,9.36,No,Yes,2024,71,95,"Brown, Powell and Ewing",413893,1012647,984624,2769716,White LLC,89,21,24,49743,1671,704,Yes,No,1503,No,368,4,No,No,No,Yes,Stay Club,Yearly,No,No,97272,Matthew Smith,7,No,Yes,Computer Science,Investment Engineering,Success out center could staff way.,Agent newspaper project manage.,Yes,Yearly,925,Cayman Islands,Similar,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
"Elliott, Carroll and Lopez",West Isabelburgh,Arizona,149,NBA,Moore and Sons University,1971,284,902,471,49,https://www.rush.com/,Science,Graduation with 55%,NEET,,14-08-2024,20-03-2024,Reserved,ST,1431,Online,Photo,08-07-2024,02-06-2024,192685,42045,40533,6180,442761,Quickly Scholarship,Category-Based,23215,No,No,"Ward, Bradshaw and Haynes",Net Banking,5,Above,Drug,MSc,10,Online,78,17-03-2024,24-03-2024,23-05-2024,8.44,Yes,No,2012,67,57,"Crawford, Mcintyre and Reyes",789942,316185,1314838,1362706,Moran-Mcdaniel,63,21,8,67538,7747,1389,Yes,Yes,1078,Yes,207,41,Yes,Yes,Yes,Yes,Cup Club,Weekly,No,No,92839,Susan Baker,2,No,No,Computer Science,Loss Engineering,Gas discuss throughout sound cell onto attention these.,Other site scene suffer road result.,Yes,Yearly,210,Taiwan,Different,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No
Parker Ltd,Petersside,Wisconsin,56,AICTE,"Werner, Brown and Walker University",1972,388,252,182,38,http://www.taylor.com/,Engineering,Entrance Exam,CAT,97,12-05-2024,25-06-2024,Management,ST,1884,Online,Address Proof,16-04-2024,21-02-2024,293589,31397,28075,8144,347094,Head Scholarship,Merit-Based,26149,Yes,Yes,Clark LLC,Debit Card,3,Sell,Cut,PhD,23,Online,69,18-04-2024,24-03-2024,08-07-2024,6.53,No,Yes,2010,71,69,Scott-Moss,909626,1325761,2160498,2266049,Baldwin and Sons,73,56,31,90725,6981,1806,No,Yes,1889,No,58,40,Yes,No,No,No,Option Club,Yearly,No,Yes,72374,Vincent Ray,5,No,Yes,Civil,Picture Engineering,Strategy personal production.,Food nor though you.,Yes,Weekly,196,South Africa,Similar,Yes,No,No,Yes,No,No,No,No,No,Yes
Baker-Caldwell,West Chelsea,Arizona,15,UGC,"Brown, Yates and Weaver University",1974,500,478,122,24,https://briggs-anderson.info/,Arts,Graduation with 55%,None,61,01-07-2024,06-02-2024,General,OBC,1487,Offline,Address Proof,03-01-2024,28-04-2024,242402,91731,14948,11434,103194,Month Scholarship,Merit-Based,91118,Yes,Yes,Lucas-Morris,Credit Card,1,Reality,Common,MBA,18,Project-Based,60,28-04-2024,20-06-2024,07-02-2024,8.64,Yes,No,2019,80,55,"Cooper, Greene and Sexton",1057670,628090,1526547,2761019,"Collier, Barnes and Flores",16,175,24,35088,860,772,No,Yes,1420,Yes,440,26,No,Yes,Yes,No,He Club,Weekly,Yes,No,83095,Sara Burns,5,Yes,Yes,Electrical,Card Engineering,Team sign it where often law.,Leader report one discussion first music across.,No,Monthly,335,Angola,Different,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
"Hammond, Valenzuela and Rowe",North Justintown,Nevada,28,UGC,Dominguez-Hinton University,1953,393,3,309,16,http://www.smith-shepherd.com/,Law,Graduation with 55%,JEE,,23-05-2024,20-05-2024,Reserved,SC,890,Online,ID Proof,12-04-2024,31-07-2024,308772,48937,43682,10782,380180,Front Scholarship,Need-Based,85635,Yes,No,"Johnson, Lopez and Hughes",Debit Card,4,Field,Chance,MSc,3,Online,51,11-01-2024,23-05-2024,21-04-2024,9.13,Yes,Yes,2011,85,85,Andrews Ltd,1268421,738957,1535707,1294774,Ellis PLC,87,79,10,62449,8177,1521,No,No,433,No,154,34,Yes,Yes,Yes,No,Now Club,Monthly,No,Yes,9838,Melanie Bernard,1,No,Yes,Civil,Model Engineering,Act officer culture family near consumer consumer feel.,Foreign base alone force me lot position.,No,Weekly,154,Panama,Similar,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
Anderson-Barrett,North Jessica,Texas,176,UGC,Scott-Manning University,1996,234,280,217,16,https://www.baker-rich.com/,Business,12th Grade with 60%,CAT,89,17-05-2024,13-01-2024,General,General,788,Offline,Marksheet,12-01-2024,06-05-2024,483465,56293,15409,8520,594413,Condition Scholarship,Need-Based,35067,Yes,No,Lucas-Wilson,Net Banking,2,Recent,Contain,MTech,6,Project-Based,45,05-01-2024,16-07-2024,01-08-2024,8.97,No,Yes,2017,79,99,"Brown, Morales and Clark",541968,905549,2972225,1646336,"Lewis, Rios and Williams",48,171,43,60216,509,725,Yes,Yes,1431,Yes,137,15,Yes,No,No,Yes,Tv Club,Yearly,Yes,Yes,94551,Kimberly Patrick,2,No,Yes,Civil,Can Engineering,Room bring issue hear director.,Usually concern scene resource end former.,Yes,Yearly,613,Latvia,Similar,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
Dennis Inc,Lake Kristinahaven,Illinois,95,NBA,Walsh-Ross University,1972,434,406,138,31,https://www.bright.com/,Engineering,12th Grade with 60%,JEE,90,28-07-2024,18-07-2024,Reserved,OBC,1682,Offline,ID Proof,14-07-2024,29-01-2024,214291,84618,18653,18541,249531,Right Scholarship,Need-Based,80784,Yes,No,"Ruiz, Dunn and Flynn",UPI,2,Skill,World,MSc,7,Practical,77,30-01-2024,01-08-2024,09-07-2024,7.07,No,Yes,2023,86,79,Torres-Williams,1218382,939997,2725647,899693,Olson PLC,28,59,13,97873,4963,280,Yes,Yes,1397,No,465,44,Yes,No,No,No,Effort Club,Yearly,No,No,12475,Nathaniel Graham,5,Yes,No,Arts,Arm Engineering,Adult tonight increase idea born expert.,But country teach.,Yes,Weekly,65,Swaziland,Different,No,No,No,Yes,No,No,No,Yes,No,No
Harris-Kennedy,Austinport,Vermont,159,NBA,Patrick and Sons University,1983,264,746,494,34,https://cordova.com/,Arts,Entrance Exam,NEET,,26-07-2024,24-07-2024,General,OBC,1703,Offline,Marksheet,15-04-2024,10-02-2024,214637,40139,29280,13795,432922,Work Scholarship,Merit-Based,87081,No,No,"Mullins, Smith and Allen",UPI,2,Enjoy,Age,MTech,7,Lectures,20,07-01-2024,09-01-2024,09-02-2024,8.65,No,No,2023,78,67,Schneider Ltd,531299,1096377,2871831,1855810,Mcdowell-Mcknight,13,67,32,35481,9156,1562,Yes,Yes,1856,No,186,21,Yes,Yes,Yes,No,Might Club,Monthly,Yes,No,93192,Patrick Hopkins,1,Yes,No,Arts,Candidate Engineering,Reduce less different between play anything.,Art truth market fly position serious.,Yes,Monthly,494,Korea,Similar,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No
"Cooley, White and Nunez",Sandersview,Pennsylvania,179,AICTE,Christian-Bradford University,2004,471,633,266,9,https://www.wilson.info/,Law,12th Grade with 60%,SAT,73,08-02-2024,25-02-2024,Management,ST,1572,Online,Address Proof,21-07-2024,30-06-2024,99652,78489,22226,5187,409819,Save Scholarship,Category-Based,12064,No,Yes,Price-Deleon,Credit Card,2,Agree,Join,MBA,21,Lectures,60,02-07-2024,29-06-2024,12-02-2024,9.47,Yes,No,2010,70,78,Adkins Inc,345912,1020036,525441,1316817,Wade-Price,16,22,11,14898,6899,1912,No,No,1685,No,143,15,Yes,Yes,Yes,No,Degree Club,Monthly,No,Yes,8237,Dana Woodward,1,No,Yes,Civil,Forward Engineering,Wait loss own century bad good eye.,National middle tough close.,No,Yearly,431,United Kingdom,Different,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Edwards-Galloway,East Patrick,West Virginia,196,UGC,Hall-Park University,2016,292,96,129,39,http://cobb-martin.com/,Law,12th Grade with 60%,None,89,02-03-2024,14-08-2024,Reserved,ST,1029,Offline,Photo,09-01-2024,06-01-2024,480692,59568,21103,6378,478402,Political Scholarship,Merit-Based,75720,No,Yes,Garcia PLC,Debit Card,3,Thousand,Soon,MTech,4,Project-Based,24,04-08-2024,11-01-2024,11-06-2024,7.65,Yes,No,2011,96,61,Reeves LLC,527873,1379743,1306903,2167700,Simpson-Fisher,49,126,38,84343,6759,1966,No,No,1065,No,466,20,No,Yes,Yes,Yes,Available Club,Weekly,Yes,Yes,29414,Lindsey Graham,8,Yes,No,Business,List Engineering,Maintain garden thing others car.,Analysis too unit ball necessary moment.,No,Weekly,188,Niue,Different,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes
"Bolton, Price and Scott",Muellerland,Illinois,190,UGC,Medina-Hines University,1968,53,581,369,22,https://www.lamb.com/,Business,Graduation with 55%,None,95,25-04-2024,13-07-2024,Management,ST,1064,Offline,Photo,01-05-2024,11-07-2024,106281,89026,31047,19175,155102,Baby Scholarship,Need-Based,23589,Yes,Yes,Garcia PLC,Net Banking,5,Focus,Order,PhD,2,Project-Based,64,22-04-2024,21-01-2024,09-07-2024,8.61,Yes,Yes,2016,62,93,Miller-Harris,338724,1370769,1262001,969461,"Hampton, Parks and Charles",69,88,36,19302,6945,513,Yes,Yes,1644,No,82,24,Yes,No,No,No,Study Club,Weekly,No,Yes,49448,Martin Allen,8,No,Yes,Electrical,Third Engineering,Around they product increase move record last.,Difference positive check nature course.,Yes,Weekly,462,Kenya,Similar,No,No,Yes,Yes,No,No,No,Yes,No,No
Jones Group,Lake Michelle,North Carolina,70,UGC,"Dunlap, Dunlap and Hooper University",1969,221,182,106,50,http://freeman.com/,Law,Graduation with 55%,None,,14-02-2024,09-02-2024,Reserved,SC,1009,Offline,Marksheet,08-07-2024,11-05-2024,98029,49452,13028,12120,583457,Center Scholarship,Need-Based,48307,Yes,Yes,Finley-Davis,Credit Card,3,Model,Catch,MBA,16,Project-Based,55,24-02-2024,09-08-2024,02-07-2024,9.27,No,No,2011,76,53,Velazquez-Cross,978842,1309585,2623626,2930773,Norman LLC,43,181,23,58073,4547,206,Yes,Yes,1089,No,315,28,Yes,No,Yes,Yes,Finally Club,Yearly,Yes,No,44706,William Sparks,8,No,Yes,Business,Piece Engineering,Race debate usually forget apply nor finish.,Space authority none although catch mean increase most.,No,Monthly,861,Oman,Different,No,Yes,No,Yes,Yes,No,No,No,No,No
